На складе (тонн),Вес 1 шт./кг.,,Цена 1 - 5 т. ,"Цена 5 - 15 т.
",Цена > 15 т. ,Филиал,Наименование,Размер,Длина,Доп. информация/ГОСТ,Категория,Длина
9.26,105.009,18681.10,176100,176000,176000,ЧЕЛЯБИНСК,Труба БШ ст09Г2С,"76 *6,0",(НД),ГОСТ 8732-78,Труба БШ,10.2
5.23,84.005,14784.84,176000,176000,176000,НОВОСИБИРСК,Труба БШ,"83*4,0",НД,ГОСТ 8732-78,Труба БШ,11.1
11.68,93.796,16461.16,173000,173000,173000,ЛОБНЯ,Труба БШ,"83*4,0",НД,ГОСТ 8732-78,Труба БШ,11.9
7.45,302.778,47717.78,156100,156000,156000,ЛОБНЯ,Труба БШ,"83*18,0",НД,ГОСТ 8732-78,Труба БШ,10.3
3.94,226.290,35821.71,157000,157000,157000,ЧЕЛЯБИНСК,Труба БШ,"83*14,0",НД,ГОСТ 8732-78,Труба БШ,9.5
4.59,190.560,30680.16,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"83*14,0",НД,ГОСТ 8732-78,Труба БШ,8
6.25,246.136,38914.10,156100,156000,156000,ЛОБНЯ,Труба БШ,"83*14,0",НД,ГОСТ 8732-78,Труба БШ,10.3
0.63,220.605,34921.77,157000,157000,157000,ЧЕЛЯБИНСК,Труба БШ,"83*12,0",НД,ГОСТ 8732-78,Труба БШ,10.5
09.08,133.111,21803.57,162000,162000,162000,ЧЕЛЯБИНСК,Труба БШ ст09Г2С,"89 *6,0",НД,ГОСТ 8732-78,Труба БШ,10.99
17.91,182.146,27704.35,150100,150000,150000,ЛОБНЯ,Труба БШ,"89 *8,0",НД,ГОСТ 8732-78,Труба БШ,11.2
9.84,172.584,27786.02,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"89 *8,0",НД,ГОСТ 8732-78,Труба БШ,10.8
8.16,161.540,26379.48,162000,162000,162000,ЧЕЛЯБИНСК,Труба БШ ст09Г2С,"89 *8,0",НД,ГОСТ 8732-78,Труба БШ,10
4.91,112.110,17107.99,150100,150000,150000,ЛОБНЯ,Труба БШ,"95 *5,0",НД,ГОСТ 8732-78,Труба БШ,10.1
4.78,130.383,19896.45,150100,150000,150000,ЛОБНЯ,Труба БШ,"95 *6,0",НД,ГОСТ 8732-78,Труба БШ,9.9
2.53,108.780,17513.58,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"89 *5,0",НД,ГОСТ 8732-78,Труба БШ,10.5
9.44,116.032,18425.88,157000,157000,157000,ЧЕЛЯБИНСК,Труба БШ,"89 *5,0",НД,ГОСТ 8732-78,Труба БШ,11.2
08.08,115.775,18963.94,162000,162000,162000,ЧЕЛЯБИНСК,Труба БШ ст09Г2С,"89 *5,0",НД,ГОСТ 8732-78,Труба БШ,11
25.27,136.441,20820.93,150100,150000,150000,ЛОБНЯ,Труба БШ,"89 *6,0",НД,ГОСТ 8732-78,Труба БШ,11.1
04.04,132.624,21352.46,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"89 *6,0",НД,ГОСТ 8732-78,Труба БШ,10.8
5.52,140.238,22269.73,157000,157000,157000,ЧЕЛЯБИНСК,Труба БШ,"89 *6,0",НД,ГОСТ 8732-78,Труба БШ,11.42
9.71,100.680,17719.68,176000,176000,176000,НОВОСИБИРСК,Труба БШ,"89 *4,0",НД,ГОСТ 8732-78,Труба БШ,12
44.11,93.342,15177.44,160100,160000,160000,ЛОБНЯ,Труба БШ,"89 *4,0",НД,ГОСТ 8732-78,Труба БШ,10.93
5.92,82.656,15374.02,186000,186000,186000,НОВОСИБИРСК,Труба БШ,"89 *3,5",НД,ГОСТ 8732-78,Труба БШ,11.2
26.16,87.453,16222.53,183000,183000,183000,ЛОБНЯ,Труба БШ,"89 *3,5",НД,ГОСТ 8732-78,Труба БШ,11.85
0.91,311.617,47241.12,150100,150000,150000,ЛОБНЯ,Труба БШ,"89 *20,0",НД,ГОСТ 8732-78,Труба БШ,9.2
6.60,272.212,41403.52,150100,150000,150000,ЛОБНЯ,Труба БШ,"89 *18,0",НД,ГОСТ 8732-78,Труба БШ,8.54
16.02,122.081,18629.61,150100,150000,150000,ЛОБНЯ,Труба БШ,"89 *5,0",НД,ГОСТ 8732-78,Труба БШ,11.7
1.67,97.859,17007.86,172000,172000,172000,ЧЕЛЯБИНСК,Труба БШ,"89 *4,5",НД,ГОСТ 8732-78,Труба БШ,11.07
9.87,103.896,16893.49,160100,160000,160000,ЛОБНЯ,Труба БШ,"89 *4,5",НД,ГОСТ 8732-78,Труба БШ,10.8
9.20,91.451,16351.44,177000,177000,177000,ЧЕЛЯБИНСК,Труба БШ ст09Г2С,"89 *4,0",НД,ГОСТ 8732-78,Труба БШ,10.9
10.20,93.129,16185.82,172000,172000,172000,ЧЕЛЯБИНСК,Труба БШ,"89 *4,0",НД,ГОСТ 8732-78,Труба БШ,11.1
4.39,95.413,16744.93,173000,173000,173000,ЛОБНЯ,Труба БШ,"68*6,0",НД,ГОСТ 8732-78,Труба БШ,10.4
4.33,70.075,12298.25,173000,173000,173000,ЛОБНЯ,Труба БШ,"68*4,0",НД,ГОСТ 8732-78,Труба БШ,11.26
2.88,109.782,19080.11,172000,172000,172000,ЧЕЛЯБИНСК,Труба БШ,"60 *8,0",НД,ГОСТ 8732-78,Труба БШ,10.7
3.92,98.496,17335.30,176000,176000,176000,НОВОСИБИРСК,Труба БШ,"60 *8,0",НД,ГОСТ 8732-78,Труба БШ,9.6
1.11,101.574,17826.24,173000,173000,173000,ЛОБНЯ,Труба БШ,"60 *8,0",НД,ГОСТ 8732-78,Труба БШ,9.9
4.71,94.157,16364.52,172000,172000,172000,ЧЕЛЯБИНСК,Труба БШ,"60 *6,0",НД,ГОСТ 8732-78,Труба БШ,11.6
5.16,92.684,16312.38,176000,176000,176000,НОВОСИБИРСК,Труба БШ,"60 *6,0",НД,ГОСТ 8732-78,Труба БШ,11.6
10.46,90.287,15845.37,173000,173000,173000,ЛОБНЯ,Труба БШ,"60 *6,0",НД,ГОСТ 8732-78,Труба БШ,11.3
4.93,122.300,21524.80,176000,176000,176000,НОВОСИБИРСК,Труба БШ,70 *8,НД,ГОСТ 8732-78,Труба БШ,10
13.12,144.559,25370.03,173000,173000,173000,ЛОБНЯ,Труба БШ,70 *8,НД,ГОСТ 8732-78,Труба БШ,11.82
5.67,95.649,16786.40,173000,173000,173000,ЛОБНЯ,Труба БШ,70 *6,НД,ГОСТ 8732-78,Труба БШ,10.1
4.38,230.666,36906.62,158000,158000,158000,ЛОБНЯ,Труба БШ,70 *16,НД,ГОСТ 8732-78,Труба БШ,10.8
4.90,171.600,27627.60,161000,161000,161000,НОВОСИБИРСК,Труба БШ,70 *12,НД,ГОСТ 8732-78,Труба БШ,10
8.28,197.407,31585.12,158000,158000,158000,ЛОБНЯ,Труба БШ,70 *12,НД,ГОСТ 8732-78,Труба БШ,11.4
4.99,145.040,23351.44,161000,161000,161000,НОВОСИБИРСК,Труба БШ,70 *10,НД,ГОСТ 8732-78,Труба БШ,9.8
1.26,127.850,22437.75,173000,173000,173000,ЛОБНЯ,Труба БШ,"68*8,0",НД,ГОСТ 8732-78,Труба БШ,10.8
8.74,49.776,9258.34,186000,186000,186000,НОВОСИБИРСК,Труба БШ,"60 *3,5",НД,ГОСТ 8732-78,Труба БШ,10.2
12.34,55.144,10229.21,183000,183000,183000,ЛОБНЯ,Труба БШ,"60 *3,5",НД,ГОСТ 8732-78,Труба БШ,11.3
7.12,144.508,23265.79,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"60 *14,0",НД,ГОСТ 8732-78,Труба БШ,9.1
7.53,187.384,31855.28,168000,168000,168000,ЛОБНЯ,Труба БШ,"60 *14,0",НД,ГОСТ 8732-78,Труба БШ,11.8
4.51,149.205,25185.80,167000,167000,167000,ЧЕЛЯБИНСК,Труба БШ,"60 *12,0",НД,ГОСТ 8732-78,Труба БШ,10.5
3.96,136.416,21962.98,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"60 *12,0",НД,ГОСТ 8732-78,Труба БШ,9.6
8.68,169.952,28891.77,168000,168000,168000,ЛОБНЯ,Труба БШ,"60 *12,0",НД,ГОСТ 8732-78,Труба БШ,11.96
2.69,125.240,21140.51,167000,167000,167000,ЧЕЛЯБИНСК,Труба БШ,"60 *10,0",НД,ГОСТ 8732-78,Труба БШ,10.1
6.29,125.766,20248.33,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"60 *10,0",НД,ГОСТ 8732-78,Труба БШ,10.2
10.05,147.343,25122.07,168000,168000,168000,ЛОБНЯ,Труба БШ,"60 *10,0",НД,ГОСТ 8732-78,Труба БШ,11.95
9.51,106.370,18487.11,172000,172000,172000,ЧЕЛЯБИНСК,Труба БШ,"57 *8,0",НД,ГОСТ 8732-78,Труба БШ,11
2.32,73.495,12773.47,172000,172000,172000,ЧЕЛЯБИНСК,Труба БШ,"60 *5,0",НД,ГОСТ 8732-78,Труба БШ,10.84
7.24,70.512,12410.11,176000,176000,176000,НОВОСИБИРСК,Труба БШ,"60 *5,0",НД,ГОСТ 8732-78,Труба БШ,10.4
04.08,63.480,11032.82,172000,172000,172000,ЧЕЛЯБИНСК,Труба БШ,"60 *4,0",НД,ГОСТ 8732-78,Труба БШ,11.5
3.16,57.408,10103.81,176000,176000,176000,НОВОСИБИРСК,Труба БШ,"60 *4,0",НД,ГОСТ 8732-78,Труба БШ,10.4
13.17,58.546,10274.81,173000,173000,173000,ЛОБНЯ,Труба БШ,"60 *4,0",НД,ГОСТ 8732-78,Труба БШ,10.6
5.61,55.632,10225.16,182000,182000,182000,ЧЕЛЯБИНСК,Труба БШ,"60 *3,5",НД,ГОСТ 8732-78,Труба БШ,11.4
19.62,78.199,13591.07,172000,172000,172000,ЧЕЛЯБИНСК,Труба БШ,"76 *4,0",НД,ГОСТ 8732-78,Труба БШ,11.1
12.18,73.840,12995.84,176000,176000,176000,НОВОСИБИРСК,Труба БШ,"76 *4,0",НД,ГОСТ 8732-78,Труба БШ,10.4
24.05,80.120,14061.13,173000,173000,173000,ЛОБНЯ,Труба БШ,"76 *4,0",НД,ГОСТ 8732-78,Труба БШ,10.74
7.66,77.961,14329.16,182000,182000,182000,ЧЕЛЯБИНСК,Труба БШ,"76 *3,5",НД,ГОСТ 8732-78,Труба БШ,12.55
3.98,69.236,12877.82,186000,186000,186000,НОВОСИБИРСК,Труба БШ,"76 *3,5",НД,ГОСТ 8732-78,Труба БШ,11.06
22.87,71.938,13344.48,183000,183000,183000,ЛОБНЯ,Труба БШ,"76 *3,5",НД,ГОСТ 8732-78,Труба БШ,11.9
3.60,108.780,17274.26,157000,157000,157000,ЧЕЛЯБИНСК,Труба БШ,"76 *6,0",НД,ГОСТ 8732-78,Труба БШ,10.5
3.54,109.298,17596.98,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"76 *6,0",НД,ГОСТ 8732-78,Труба БШ,10.55
5.89,124.838,20036.50,158000,158000,158000,ЛОБНЯ,Труба БШ,"76 *6,0",НД,ГОСТ 8732-78,Труба БШ,12.05
8.99,93.614,16653.98,176100,176000,176000,ЧЕЛЯБИНСК,Труба БШ ст09Г2С,"76 *5,0",НД,ГОСТ 8732-78,Труба БШ,10.7
4.33,103.253,16396.54,157000,157000,157000,ЧЕЛЯБИНСК,Труба БШ,"76 *5,0",НД,ГОСТ 8732-78,Труба БШ,11.2
4.88,89.352,14385.67,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"76 *5,0",НД,ГОСТ 8732-78,Труба БШ,10.2
8.99,73.485,13072.98,176100,176000,176000,ЧЕЛЯБИНСК,Труба БШ ст09Г2С,"76*4,0",(НД),ГОСТ 8732-78,Труба БШ,10.35
01.07,167.684,26544.38,157000,157000,157000,ЧЕЛЯБИНСК,Труба БШ,76 *10,НД,ГОСТ 8732-78,Труба БШ,10.3
4.90,146.520,23589.72,161000,161000,161000,НОВОСИБИРСК,Труба БШ,76 *10,НД,ГОСТ 8732-78,Труба БШ,9
9.46,167.033,26725.25,158000,158000,158000,ЛОБНЯ,Труба БШ,76 *10,НД,ГОСТ 8732-78,Труба БШ,10.26
5.32,134.610,23691.36,176000,176000,176000,НОВОСИБИРСК,Труба БШ,73 *8,НД,ГОСТ 8732-78,Труба БШ,10.5
03.03,137.217,24081.55,173000,173000,173000,ЛОБНЯ,Труба БШ,73 *8,НД,ГОСТ 8732-78,Труба БШ,10.7
6.65,93.129,16344.14,173000,173000,173000,ЛОБНЯ,Труба БШ,73 *5,НД,ГОСТ 8732-78,Труба БШ,11.1
5.49,166.278,26770.76,161000,161000,161000,НОВОСИБИРСК,Труба БШ,73 *10,НД,ГОСТ 8732-78,Труба БШ,10.7
10.65,190.994,30559.12,158000,158000,158000,ЛОБНЯ,Труба БШ,73 *10,НД,ГОСТ 8732-78,Труба БШ,11.95
1.92,249.116,39435.06,157000,157000,157000,ЧЕЛЯБИНСК,Труба БШ,76 *18,НД,ГОСТ 8732-78,Труба БШ,9.8
6.99,225.193,36030.93,158000,158000,158000,ЛОБНЯ,Труба БШ,76 *18,НД,ГОСТ 8732-78,Труба БШ,8.76
1.96,196.536,31111.60,157000,157000,157000,ЧЕЛЯБИНСК,Труба БШ,76 *16,НД,ГОСТ 8732-78,Труба БШ,8.3
1.59,199.793,31966.88,158000,158000,158000,ЛОБНЯ,Труба БШ,76 *16,НД,ГОСТ 8732-78,Труба БШ,8.86
4.75,251.999,39891.44,157000,157000,157000,ЧЕЛЯБИНСК,Труба БШ,76 *15,НД,ГОСТ 8732-78,Труба БШ,11
8.84,250.847,40135.57,158000,158000,158000,ЛОБНЯ,Труба БШ,76 *15,НД,ГОСТ 8732-78,Труба БШ,11
4.34,172.354,27283.64,157000,157000,157000,ЧЕЛЯБИНСК,Труба БШ,76 *12,НД,ГОСТ 8732-78,Труба БШ,9.1
3.98,164.285,26285.57,158000,158000,158000,ЛОБНЯ,Труба БШ,76 *12,НД,ГОСТ 8732-78,Труба БШ,8.72
5.38,156.288,25521.83,162000,162000,162000,ЧЕЛЯБИНСК,Труба БШ ст09Г2С,"76*10,0",(НД),ГОСТ 8732-78,Труба БШ,9.6
15.85,137.424,21822.93,157000,157000,157000,ЧЕЛЯБИНСК,Труба БШ,"108 *5,0",НД,ГОСТ 8732-78,Труба БШ,10.5
6.32,143.589,23519.89,162000,162000,162000,ЧЕЛЯБИНСК,Труба БШ ст09Г2С,"108*5,0",НД,ГОСТ 8732-78,Труба БШ,11.3
18.87,174.707,25874.14,146100,146000,146000,ЛОБНЯ,Труба БШ,"108 *6,0",НД,ГОСТ 8732-78,Труба БШ,10.95
6.23,169.008,27210.29,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"108 *6,0",НД,ГОСТ 8732-78,Труба БШ,11.2
10.37,160.004,25328.63,157000,157000,157000,ЧЕЛЯБИНСК,Труба БШ,"108 *6,0",НД,ГОСТ 8732-78,Труба БШ,10.4
10.93,159.996,26127.41,162000,162000,162000,ЧЕЛЯБИНСК,Труба БШ ст09Г2С,"108*6,0",НД,ГОСТ 8732-78,Труба БШ,10.6
16.31,217.598,32226.32,146100,146000,146000,ЛОБНЯ,Труба БШ ст20,"108 *8,0",НД,ГОСТ 8732-78,Труба БШ,10.8
1.90,199.273,32082.95,161000,161000,161000,НОВОСИБИРСК,Труба БШ ст20,"108 *8,0",НД,ГОСТ 8732-78,Труба БШ,10.1
29.17,110.424,17734.11,158100,158000,158000,ЛОБНЯ,Труба БШ,"108 *4,0",НД,ГОСТ 8732-78,Труба БШ,10.4
15.80,115.938,20405.09,176000,176000,176000,НОВОСИБИРСК,Труба БШ,"108 *4,0",НД,ГОСТ 8732-78,Труба БШ,11.3
10.01,115.711,20110.61,172000,172000,172000,ЧЕЛЯБИНСК,Труба БШ,"108 *4,0",НД,ГОСТ 8732-78,Труба БШ,10.8
12.86,109.782,19629.02,177000,177000,177000,ЧЕЛЯБИНСК,Труба БШ ст09Г2С,"108*4,0",НД,ГОСТ8732-78,Труба БШ,10.7
4.87,124.168,19817.16,157100,157000,157000,ЛОБНЯ,Труба БШ,"108 *4,5",НД,ГОСТ 8732-78,Труба БШ,10.5
8.39,123.050,21656.80,176000,176000,176000,НОВОСИБИРСК,Труба БШ,"108 *4,5",НД,ГОСТ 8732-78,Труба БШ,10.7
2.79,129.255,22464.47,172000,172000,172000,ЧЕЛЯБИНСК,Труба БШ,"108 *4,5",НД,ГОСТ 8732-78,Труба БШ,10.3
20.11,156.200,23133.29,146100,146000,146000,ЛОБНЯ,Труба БШ,"108 *5,0",НД,ГОСТ 8732-78,Труба БШ,10.86
11.37,134.620,21673.82,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"108 *5,0",НД,ГОСТ 8732-78,Труба БШ,10.6
19.90,155.892,23087.63,146100,146000,146000,ЛОБНЯ,Труба БШ,"114 *5,0",НД,ГОСТ 8732-78,Труба БШ,11.35
2.92,145.152,23369.47,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"114 *5,0",НД,ГОСТ 8732-78,Труба БШ,10.8
3.68,141.000,20712.90,145100,145000,145000,ЧЕЛЯБИНСК,Труба БШ,"114 *5,0",НД,ГОСТ 8732-78,Труба БШ,10
8.40,174.699,25872.91,146100,146000,146000,ЛОБНЯ,Труба БШ,"114 *6,0",НД,ГОСТ 8732-78,Труба БШ,10.7
04.07,167.790,27014.19,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"114 *6,0",НД,ГОСТ 8732-78,Труба БШ,10.5
3.93,177.600,26000.64,145100,145000,145000,ЧЕЛЯБИНСК,Труба БШ,"114 *6,0",НД,ГОСТ 8732-78,Труба БШ,11.1
0.77,190.424,28201.76,146100,146000,146000,ЛОБНЯ,Труба БШ,"114 *7,0",НД,ГОСТ 8732-78,Труба БШ,10.2
10.16,215.599,31930.17,146100,146000,146000,ЛОБНЯ,Труба БШ,"114*8,0",НД,ГОСТ 8732-78,Труба БШ,10.07
4.89,204.918,32991.80,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"114*8,0",НД,ГОСТ 8732-78,Труба БШ,9.8
5.71,203.995,32292.47,157000,157000,157000,ЧЕЛЯБИНСК,Труба БШ ст20,"108 *8,0",НД,ГОСТ 8732-78,Труба БШ,10.32
5.39,165.724,27062.66,162000,162000,162000,ЧЕЛЯБИНСК,Труба БШ ст09г2с,"108 *8,0",НД,ГОСТ 8732-78,Труба БШ,8.4
3.86,272.778,40398.47,146100,146000,146000,ЛОБНЯ,Труба БШ,114 *10,НД,ГОСТ 8732-78,Труба БШ,10.98
3.92,269.325,43361.32,161000,161000,161000,НОВОСИБИРСК,Труба БШ,114 *10,НД,ГОСТ 8732-78,Труба БШ,10.5
5.17,119.475,17754.04,146100,146000,146000,ЛОБНЯ,Труба БШ,"114 *4,0",НД,ГОСТ 8732-78,Труба БШ,10.95
5.62,114.684,18464.20,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"114 *4,0",НД,ГОСТ 8732-78,Труба БШ,10.57
1.49,113.001,16599.89,145100,145000,145000,ЧЕЛЯБИНСК,Труба БШ,"114 *4,0",НД,ГОСТ 8732-78,Труба БШ,10.3
4.39,129.054,19177.39,146100,146000,146000,ЛОБНЯ,Труба БШ,"114 *4,5",НД,ГОСТ 8732-78,Труба БШ,10.7
4.22,131.220,21126.42,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"114 *4,5",НД,ГОСТ 8732-78,Труба БШ,10.8
8.75,103.469,17982.91,172000,172000,172000,ЧЕЛЯБИНСК,Труба БШ,"102 *4,0",НД,ГОСТ 8732-78,Труба БШ,10.7
9.64,126.776,19346.02,150100,150000,150000,ЛОБНЯ,Труба БШ,"102 *5,0",НД,ГОСТ 8732-78,Труба БШ,10.6
7.10,126.776,20410.94,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"102 *5,0",НД,ГОСТ 8732-78,Труба БШ,10.6
6.50,124.384,19752.18,157000,157000,157000,ЧЕЛЯБИНСК,Труба БШ,"102 *5,0",НД,ГОСТ 8732-78,Труба БШ,10.4
13.95,159.423,24248.19,150100,150000,150000,ЛОБНЯ,Труба БШ,"102 *6,0",НД,ГОСТ 8732-78,Труба БШ,11.15
3.70,140.679,22649.32,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"102 *6,0",НД,ГОСТ 8732-78,Труба БШ,9.9
2.49,133.290,21166.42,157000,157000,157000,ЧЕЛЯБИНСК,Труба БШ,"102 *6,0",НД,ГОСТ 8732-78,Труба БШ,9.38
11.30,252.598,38420.16,150100,150000,150000,ЛОБНЯ,Труба БШ,"102 *10,0",НД,ГОСТ 8732-78,Труба БШ,10.6
2.50,240.514,38722.75,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"102 *10,0",НД,ГОСТ 8732-78,Труба БШ,10.6
5.12,229.169,36277.45,157000,157000,157000,ЧЕЛЯБИНСК,Труба БШ,"102 *10,0",НД,ГОСТ 8732-78,Труба БШ,10.1
4.40,233.765,35555.73,150100,150000,150000,ЛОБНЯ,Труба БШ,"102 *12,0",НД,ГОСТ 8732-78,Труба БШ,8.7
8.40,235.447,35811.50,150100,150000,150000,ЛОБНЯ,Труба БШ,"102 *16,0",НД,ГОСТ 8732-78,Труба БШ,6.6
2.40,220.545,35507.74,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"102 *16,0",НД,ГОСТ 8732-78,Труба БШ,6.5
10.68,108.304,17610.23,160100,160000,160000,ЛОБНЯ,Труба БШ,"102 *4,0",НД,ГОСТ 8732-78,Труба БШ,11.2
9.55,106.370,18721.12,176000,176000,176000,НОВОСИБИРСК,Труба БШ,"102 *4,0",НД,ГОСТ 8732-78,Труба БШ,11
06.03,305.290,48235.76,157000,157000,157000,ЧЕЛЯБИНСК,Труба БШ,"108 *14,0",НД,ГОСТ 8732-78,Труба БШ,9.44
4.89,257.731,42087.44,162000,162000,162000,ЧЕЛЯБИНСК,Труба БШ ст09г2с,"108*14,0",НД,ГОСТ 8732-78,Труба БШ,8.17
7.52,305.738,45126.91,146100,146000,146000,ЛОБНЯ,Труба БШ,"108 *16,0",НД,ГОСТ 8732-78,Труба БШ,8.45
4.63,319.440,51429.84,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"108 *16,0",НД,ГОСТ 8732-78,Труба БШ,8.8
7.50,324.522,51274.48,157000,157000,157000,ЧЕЛЯБИНСК,Труба БШ,"108 *16,0",НД,ГОСТ 8732-78,Труба БШ,8.94
5.49,315.810,51477.03,162000,162000,162000,ЧЕЛЯБИНСК,Труба БШ ст09г2с,"108*16,0",НД,ГОСТ 8732-78,Труба БШ,8.7
05.02,331.585,53385.18,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"108 *18,0",НД,ГОСТ 8732-78,Труба БШ,8.3
02.08,311.610,50792.43,162000,162000,162000,ЧЕЛЯБИНСК,Труба БШ ст09г2с,"108*18,0",НД,ГОСТ 8732-78,Труба БШ,7.8
2.59,374.788,55318.65,146100,146000,146000,ЛОБНЯ,Труба БШ,"108 *20,0",НД,ГОСТ 8732-78,Труба БШ,8.56
11.28,197.545,30046.58,150100,150000,150000,ЛОБНЯ,Труба БШ,"102 *8,0",НД,ГОСТ 8732-78,Труба БШ,10.4
06.07,185.500,29865.50,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"102 *8,0",НД,ГОСТ 8732-78,Труба БШ,10
12.07,240.622,35636.19,146100,146000,146000,ЛОБНЯ,Труба БШ,"108 *10,0",НД,ГОСТ 8732-78,Труба БШ,9.9
6.36,253.785,40859.38,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"108 *10,0",НД,ГОСТ 8732-78,Труба БШ,10.5
4.43,248.640,39359.71,157000,157000,157000,ЧЕЛЯБИНСК,Труба БШ,"108 *10,0",НД,ГОСТ 8732-78,Труба БШ,10.5
6.46,253.927,41466.26,162000,162000,162000,ЧЕЛЯБИНСК,Труба БШ ст09Г2С,"108*10,0",НД,ГОСТ 8732-78,Труба БШ,10.35
2.90,272.736,40392.20,146100,146000,146000,ЛОБНЯ,Труба БШ,"108 *12,0",НД,ГОСТ 8732-78,Труба БШ,9.6
3.60,272.736,43910.50,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"108 *12,0",НД,ГОСТ 8732-78,Труба БШ,9.6
12.32,281.171,41641.50,146100,146000,146000,ЛОБНЯ,Труба БШ,"108 *14,0",НД,ГОСТ 8732-78,Труба БШ,8.5
4.21,250.371,40309.73,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"108 *14,0",НД,ГОСТ 8732-78,Труба БШ,8.1
2.29,210.833,32067.68,150100,150000,150000,ЛОБНЯ,Труба БШ,"140*5,0",НД,ГОСТ 8732-78,Труба БШ,11.5
3.81,241.924,38296.51,157000,157000,157000,ЧЕЛЯБИНСК,Труба БШ,"140*5,0",НД,ГОСТ 8732-78,Труба БШ,11.8
8.33,223.197,33948.26,150100,150000,150000,ЛОБНЯ,Труба БШ,"140*6,0",НД,ГОСТ 8732-78,Труба БШ,11.2
3.00,207.818,32897.65,157000,157000,157000,ЧЕЛЯБИНСК,Труба БШ,"140*6,0",НД,ГОСТ 8732-78,Труба БШ,10.48
4.44,295.672,44971.71,150100,150000,150000,ЛОБНЯ,Труба БШ,"140*8,0",НД,ГОСТ 8732-78,Труба БШ,11.35
05.07,290.346,45961.77,157000,157000,157000,ЧЕЛЯБИНСК,Труба БШ,"140*8,0",НД,ГОСТ 8732-78,Труба БШ,11.15
0.70,358.878,54405.90,150100,150000,150000,ЛОБНЯ,Труба БШ,"146*10,0",НД,ГОСТ 8732-78,Труба БШ,10.7
0.60,219.494,33385.07,150100,150000,150000,ЛОБНЯ,Труба БШ,"146*6,0",НД,ГОСТ 8732-78,Труба БШ,10.6
6.89,164.047,26788.81,162000,162000,162000,ЧЕЛЯБИНСК,Труба БШ ст09Г2С,"133 *5,0",НД,ГОСТ 8732-78,Труба БШ,10.2
7.69,221.275,33656.00,150100,150000,150000,ЛОБНЯ,Труба БШ,"133 *6,0",НД,ГОСТ 8732-78,Труба БШ,11.3
1.79,202.932,32672.05,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"133 *6,0",НД,ГОСТ 8732-78,Труба БШ,10.8
8.53,207.817,32918.28,157100,157000,157000,ЧЕЛЯБИНСК,Труба БШ,"133 *6,0",НД,ГОСТ 8732-78,Труба БШ,11.06
8.67,195.850,31982.30,162000,162000,162000,ЧЕЛЯБИНСК,Труба БШ ст09Г2С,"133 *6,0",НД,ГОСТ 8732-78,Труба БШ,10
6.58,266.740,40571.14,150100,150000,150000,ЛОБНЯ,Труба БШ,"133 *8,0",НД,ГОСТ 8732-78,Труба БШ,10.65
6.18,284.823,45856.50,161000,161000,161000,НОВОСИБИРСК,Труба БШ,"133 *8,0",НД,ГОСТ 8732-78,Труба БШ,11.55
7.75,240.960,38168.14,157100,157000,157000,ЧЕЛЯБИНСК,Труба БШ,"133 *8,0",НД,ГОСТ 8732-78,Труба БШ,9.85
6.29,250.002,40825.33,162000,162000,162000,ЧЕЛЯБИНСК,Труба БШ ст09Г2С,"133 *8,0",НД,ГОСТ 8732-78,Труба БШ,9.5
10.50,338.824,51365.79,150100,150000,150000,ЛОБНЯ,Труба БШ,"140*10,0",НД,ГОСТ 8732-78,Труба БШ,10.5
3.89,330.218,52174.44,157000,157000,157000,ЧЕЛЯБИНСК,Труба БШ,"140*10,0",НД,ГОСТ 8732-78,Труба БШ,10.3
2.32,409.198,62034.42,150100,150000,150000,ЛОБНЯ,Труба БШ,"140*12,0",НД,ГОСТ 8732-78,Труба БШ,10.8
19.58,600.979,88404.08,146100,146000,146000,ЛОБНЯ,Труба БШ,"159 *16,0",НД,ГОСТ 8732-78,Труба БШ,10.65
